Date,Adj Close,Close,High,Low,Open,Volume
2015-01-02,395.75,395.75,398.5,391.5,396.25,88774
2015-01-05,406.0,406.0,406.75,394.5,395.75,140391
2015-01-06,405.0,405.0,409.5,402.25,405.5,138314
2015-01-07,396.25,396.25,407.25,396.0,404.75,131694
2015-01-08,394.25,394.25,398.75,392.75,396.5,118969
2015-01-09,400.25,400.25,401.5,393.0,394.75,154553
2015-01-12,402.0,402.0,407.0,390.0,399.0,269589
2015-01-13,385.75,385.75,406.5,384.5,402.0,250523
2015-01-14,381.0,381.0,386.25,376.0,386.0,236408
2015-01-15,380.0,380.0,388.0,376.0,382.75,189766
2015-01-16,387.0,387.0,388.0,379.5,380.5,142829
2015-01-20,390.25,390.25,391.0,382.25,385.25,138122
2015-01-21,388.0,388.0,392.5,386.25,390.0,114626
2015-01-22,383.75,383.75,390.5,382.5,387.75,139782
2015-01-23,386.75,386.75,388.5,382.0,384.0,169566
2015-01-26,384.0,384.0,388.25,382.25,385.75,102852
2015-01-27,381.25,381.25,386.0,380.0,383.5,108698
2015-01-28,373.25,373.25,381.5,373.0,380.75,167615
2015-01-29,371.5,371.5,373.5,368.0,373.5,192836
2015-01-30,370.0,370.0,373.0,365.75,372.75,194631
2015-02-02,369.75,369.75,378.5,367.5,369.75,154763
2015-02-03,385.75,385.75,388.5,370.0,370.0,238534
2015-02-04,383.5,383.5,388.25,379.5,385.0,178698
2015-02-05,385.25,385.25,387.5,381.5,382.5,136397
2015-02-06,385.75,385.75,389.5,380.0,385.0,202343
2015-02-09,391.25,391.25,391.75,383.5,385.25,217638
2015-02-10,388.0,388.0,391.5,384.5,390.75,209348
2015-02-11,385.75,385.75,389.75,384.0,388.0,178879
2015-02-12,383.0,383.0,387.75,381.25,385.25,169376
2015-02-13,387.25,387.25,388.5,382.25,383.0,167269
2015-02-17,389.5,389.5,391.0,385.0,387.0,164635
2015-02-18,383.75,383.75,390.5,383.0,389.0,162322
2015-02-19,389.75,389.75,391.25,382.25,383.75,176132
2015-02-20,385.25,385.25,389.5,383.5,389.0,131258
2015-02-23,378.75,378.75,386.0,377.5,385.25,142798
2015-02-24,377.5,377.5,387.0,377.5,379.0,207228
2015-02-25,375.75,375.75,379.5,371.5,378.0,115836
2015-02-26,380.0,380.0,382.25,375.0,376.0,95565
2015-02-27,384.5,384.5,387.25,377.0,379.0,35368
2015-03-02,378.75,378.75,385.5,377.5,383.0,16974
2015-03-03,382.0,382.0,382.75,375.75,379.0,13906
2015-03-04,381.5,381.5,382.25,378.0,382.0,10629
2015-03-05,382.75,382.75,384.75,380.0,381.25,6365
2015-03-06,379.25,379.25,382.5,376.5,381.0,4631
2015-03-09,383.25,383.25,384.75,379.25,379.25,1898
2015-03-10,382.25,382.25,384.5,377.0,383.0,4126
2015-03-11,384.0,384.0,387.75,381.5,382.25,1609
2015-03-12,382.25,382.25,384.75,380.0,384.0,1241
2015-03-13,374.0,374.0,383.75,374.0,383.25,155266
2015-03-16,379.0,379.0,382.25,375.5,380.75,145231
2015-03-17,371.0,371.0,379.75,370.0,379.0,175673
2015-03-18,374.75,374.75,375.25,367.0,371.5,146488
2015-03-19,373.5,373.5,380.5,370.5,377.5,152285
2015-03-20,385.0,385.0,387.5,372.75,373.5,211230
2015-03-23,390.25,390.25,391.75,385.0,385.0,160884
2015-03-24,393.25,393.25,393.75,388.5,389.25,135276
2015-03-25,395.0,395.0,395.75,391.5,392.75,150274
2015-03-26,391.25,391.25,397.0,389.25,394.0,156056
2015-03-27,391.0,391.0,393.5,389.25,391.0,136749
2015-03-30,394.5,394.5,395.0,390.0,391.5,175824
2015-03-31,376.25,376.25,398.5,375.5,394.0,349246
2015-04-01,381.75,381.75,382.25,374.0,377.0,221060
2015-04-02,386.5,386.5,388.5,378.25,381.75,177882
2015-04-06,385.0,385.0,390.0,383.5,386.25,84776
2015-04-07,383.0,383.0,387.25,382.0,385.0,99163
2015-04-08,379.25,379.25,385.0,376.75,383.25,214355
2015-04-09,378.0,378.0,380.0,375.0,379.0,198132
2015-04-10,377.0,377.0,379.5,374.25,378.25,196231
2015-04-13,370.5,370.5,376.0,370.25,375.0,184709
2015-04-14,373.5,373.5,374.75,370.0,371.0,173032
2015-04-15,376.0,376.0,379.0,370.5,372.75,220497
2015-04-16,376.25,376.25,377.75,373.0,375.75,122447
2015-04-17,379.75,379.75,380.75,375.0,376.25,152395
2015-04-20,378.0,378.0,381.75,375.75,379.5,133450
2015-04-21,373.0,373.0,377.0,371.25,377.0,179367
2015-04-22,372.5,372.5,374.0,369.25,373.0,141185
2015-04-23,370.75,370.75,378.0,370.25,372.5,191785
2015-04-24,364.5,364.5,371.25,363.75,371.0,145306
2015-04-27,360.75,360.75,365.25,360.5,363.75,139207
2015-04-28,361.0,361.0,363.5,359.0,360.5,116765
2015-04-29,363.75,363.75,364.5,359.5,361.0,79151
2015-04-30,362.5,362.5,367.75,360.0,364.25,19353
2015-05-01,359.75,359.75,363.0,357.5,362.5,6089
2015-05-04,358.75,358.75,360.75,356.75,359.0,3335
2015-05-05,361.25,361.25,361.75,354.0,357.75,4250
2015-05-06,366.5,366.5,369.0,361.75,361.75,2990
2015-05-07,357.75,357.75,366.25,357.25,365.5,3293
2015-05-08,358.5,358.5,359.0,356.5,357.75,1210
2015-05-11,358.25,358.25,361.0,357.0,359.0,636
2015-05-12,357.0,357.0,362.0,355.25,358.25,406
2015-05-13,356.0,356.0,359.0,352.75,356.25,579
2015-05-14,361.0,361.0,363.75,356.0,356.75,198520
2015-05-15,365.5,365.5,371.5,362.0,367.75,171130
2015-05-18,368.0,368.0,371.25,364.0,365.25,155820
2015-05-19,362.0,362.0,368.5,360.25,367.25,175468
2015-05-20,360.0,360.0,362.5,358.5,362.25,152947
2015-05-21,365.0,365.0,366.5,359.75,360.0,170412
2015-05-22,360.0,360.0,367.75,359.75,364.0,155675
2015-05-26,355.0,355.0,362.5,354.0,361.0,172180
2015-05-27,349.5,349.5,356.5,348.75,355.0,180699
2015-05-28,353.5,353.5,355.0,348.25,349.5,163613
2015-05-29,351.5,351.5,357.0,350.0,353.25,141539
2015-06-01,352.25,352.25,354.25,348.25,350.5,140812
2015-06-02,359.0,359.0,359.5,351.75,352.0,180406
2015-06-03,359.0,359.0,364.0,357.0,359.0,222940
2015-06-04,363.5,363.5,364.5,356.5,358.5,146468
2015-06-05,360.5,360.5,367.25,359.75,362.75,209282
2015-06-08,365.25,365.25,366.25,360.5,360.5,174596
2015-06-09,365.0,365.0,368.5,362.5,364.75,230801
2015-06-10,357.25,357.25,366.5,356.75,364.75,349011
2015-06-11,356.5,356.5,360.0,354.5,357.5,256052
2015-06-12,353.0,353.0,356.75,352.25,356.0,223042
2015-06-15,348.25,348.25,353.25,346.75,353.0,261742
2015-06-16,354.0,354.0,354.25,347.5,349.0,253135
2015-06-17,359.25,359.25,361.25,353.75,353.75,197540
2015-06-18,358.0,358.0,361.25,356.0,359.0,180245
2015-06-19,353.25,353.25,358.0,351.75,357.75,164909
2015-06-22,360.0,360.0,360.5,350.5,352.75,179336
2015-06-23,367.5,367.5,368.75,360.5,361.0,202628
2015-06-24,366.5,366.5,371.0,363.25,367.0,210672
2015-06-25,376.5,376.5,377.0,363.5,366.0,176632
2015-06-26,385.0,385.0,390.0,375.5,376.0,191984
2015-06-29,383.25,383.25,391.75,381.75,383.75,138122
2015-06-30,414.0,414.0,415.0,382.75,383.25,39750
2015-07-01,413.75,413.75,417.0,403.0,411.0,18653
2015-07-02,419.75,419.75,422.0,409.75,413.0,11002
2015-07-06,418.5,418.5,419.5,409.0,417.75,10263
2015-07-07,415.75,415.75,416.0,407.75,412.5,6959
2015-07-08,416.25,416.25,420.75,411.75,414.75,5780
2015-07-09,421.25,421.25,425.0,416.5,416.5,5157
2015-07-10,427.25,427.25,431.0,418.0,420.0,1961
2015-07-13,433.5,433.5,434.25,424.0,427.0,1528
2015-07-14,424.0,424.0,436.25,423.25,433.75,157441
2015-07-15,429.5,429.5,431.75,421.0,427.0,155160
2015-07-16,430.0,430.0,438.75,428.25,430.25,144241
2015-07-17,420.25,420.25,429.5,418.25,428.0,108363
2015-07-20,405.0,405.0,418.5,404.5,418.5,115539
2015-07-21,406.5,406.5,410.25,402.5,406.5,99828
2015-07-22,402.75,402.75,407.5,399.75,407.25,102950
2015-07-23,403.25,403.25,405.25,398.5,403.5,91749
2015-07-24,392.5,392.5,403.5,392.0,403.25,95623
2015-07-27,373.0,373.0,389.25,372.5,389.0,168643
2015-07-28,375.0,375.0,376.0,370.0,373.5,90252
2015-07-29,367.75,367.75,377.75,367.0,377.5,102337
2015-07-30,373.25,373.25,374.5,365.75,367.75,122979
2015-07-31,371.0,371.0,377.5,369.25,374.75,108953
2015-08-03,366.5,366.5,370.5,365.0,370.0,87164
2015-08-04,368.75,368.75,372.75,366.75,368.0,84695
2015-08-05,372.75,372.75,373.75,367.5,368.75,124085
2015-08-06,369.75,369.75,375.0,369.25,372.5,90804
2015-08-07,372.75,372.75,375.0,366.5,370.0,135952
2015-08-10,390.25,390.25,391.5,373.75,374.0,179127
2015-08-11,376.5,376.5,388.5,376.0,388.5,150143
2015-08-12,357.25,357.25,382.75,346.5,377.0,213756
2015-08-13,363.75,363.75,364.75,355.25,358.25,171458
2015-08-14,364.0,364.0,365.75,359.75,363.75,121627
2015-08-17,363.25,363.25,368.0,361.25,363.5,96021
2015-08-18,366.25,366.25,368.25,361.75,363.0,92424
2015-08-19,367.25,367.25,372.0,365.75,366.0,95765
2015-08-20,371.0,371.0,371.75,367.0,367.0,106836
2015-08-21,365.25,365.25,372.5,364.0,370.25,96220
2015-08-24,368.75,368.75,370.25,354.0,365.0,157282
2015-08-25,365.5,365.5,375.0,363.75,368.0,110032
2015-08-26,361.75,361.75,369.0,361.5,365.25,82911
2015-08-27,363.75,363.75,367.25,360.25,362.5,128432
2015-08-28,363.25,363.25,368.75,362.25,362.5,121534
2015-08-31,363.75,363.75,365.25,359.75,362.25,26929
2015-09-01,356.0,356.0,362.5,355.25,362.5,14224
2015-09-02,354.0,354.0,358.0,351.25,356.75,8732
2015-09-03,347.75,347.75,354.25,347.25,354.0,8523
2015-09-04,349.5,349.5,350.75,346.75,348.0,5793
2015-09-08,355.0,355.0,355.5,351.0,354.25,4757
2015-09-09,356.5,356.5,359.25,353.25,353.25,4069
2015-09-10,361.75,361.75,362.25,355.5,356.0,2090
2015-09-11,374.5,374.5,374.75,357.0,361.75,2234
2015-09-14,379.0,379.0,381.0,375.0,377.5,191326
2015-09-15,390.5,390.5,395.0,388.75,392.75,137584
2015-09-16,386.0,386.0,391.0,383.0,390.0,136515
2015-09-17,379.75,379.75,385.5,379.25,385.25,100749
2015-09-18,377.25,377.25,382.5,376.5,380.0,122700
2015-09-21,384.5,384.5,385.5,375.0,376.5,148745
2015-09-22,380.5,380.5,384.5,377.25,384.0,125418
2015-09-23,383.25,383.25,384.5,379.0,379.5,99196
2015-09-24,381.5,381.5,384.0,379.25,382.75,106335
2015-09-25,389.0,389.0,389.5,381.0,381.25,143043
2015-09-28,386.75,386.75,392.5,383.75,388.75,143666
2015-09-29,389.0,389.0,389.5,385.0,387.25,128653
2015-09-30,387.75,387.75,394.5,383.5,389.0,268863
2015-10-01,388.75,388.75,393.0,385.0,387.75,136427
2015-10-02,389.25,389.25,391.5,384.0,388.0,164402
2015-10-05,393.5,393.5,394.0,388.75,389.25,113450
2015-10-06,398.25,398.25,399.0,391.75,392.75,190309
2015-10-07,395.75,395.75,399.75,393.75,397.5,146387
2015-10-08,391.25,391.25,395.75,390.5,394.75,131351
2015-10-09,382.75,382.75,394.25,381.5,391.0,262772
2015-10-12,380.75,380.75,385.25,380.25,381.5,134597
2015-10-13,384.5,384.5,384.75,379.0,381.0,148065
2015-10-14,379.0,379.0,386.75,378.5,384.5,137517
2015-10-15,375.5,375.5,379.5,375.0,378.75,123418
2015-10-16,376.75,376.75,378.0,372.5,375.5,142264
2015-10-19,373.0,373.0,377.5,372.5,377.25,120046
2015-10-20,376.75,376.75,377.75,372.0,372.75,169213
2015-10-21,380.75,380.75,381.0,375.5,377.0,215666
2015-10-22,378.25,378.25,383.5,377.5,380.25,132712
2015-10-23,379.75,379.75,380.0,375.0,377.75,171647
2015-10-26,384.5,384.5,385.75,378.0,380.0,200132
2015-10-27,380.0,380.0,387.5,379.0,384.0,205737
2015-10-28,376.0,376.0,380.75,375.75,379.75,153094
2015-10-29,380.0,380.0,380.5,375.5,376.0,146184
2015-10-30,382.25,382.25,383.75,378.75,379.75,152847
2015-11-02,376.5,376.5,381.75,376.0,381.25,173276
2015-11-03,380.5,380.5,382.25,375.75,376.5,247284
2015-11-04,380.5,380.5,383.5,376.5,379.5,245045
2015-11-05,374.5,374.5,379.75,373.75,379.5,241092
2015-11-06,373.0,373.0,375.25,370.0,374.75,218103
2015-11-09,366.75,366.75,375.5,366.5,372.75,295989
2015-11-10,359.0,359.0,367.75,356.0,367.0,428758
2015-11-11,362.25,362.25,363.5,359.5,360.5,274519
2015-11-12,362.0,362.0,363.5,359.25,361.75,264486
2015-11-13,358.25,358.25,362.25,358.0,361.5,165822
2015-11-16,360.0,360.0,360.75,357.25,358.25,139156
2015-11-17,362.0,362.0,362.5,358.25,360.0,195761
2015-11-18,361.75,361.75,364.25,358.5,362.0,245397
2015-11-19,364.25,364.25,365.5,360.25,361.75,175839
2015-11-20,363.25,363.25,366.5,362.0,363.5,188672
2015-11-23,367.25,367.25,367.5,360.0,362.5,177566
2015-11-24,364.25,364.25,367.25,364.0,367.0,163371
2015-11-25,366.0,366.0,366.5,364.0,364.25,147246
2015-11-27,359.25,359.25,365.75,358.75,365.25,73101
2015-11-30,365.0,365.0,366.0,359.25,359.75,33639
2015-12-01,367.0,367.0,368.75,364.5,365.25,10597
2015-12-02,364.0,364.0,367.0,363.5,367.0,4775
2015-12-03,370.25,370.25,371.25,361.25,363.75,11682
2015-12-04,376.25,376.25,376.5,369.75,370.0,4951
2015-12-07,368.5,368.5,376.0,368.0,375.75,3397
2015-12-08,370.0,370.0,371.0,367.25,369.0,3115
2015-12-09,371.75,371.75,376.75,368.5,370.75,3550
2015-12-10,377.25,377.25,379.25,371.75,372.5,2951
2015-12-11,373.0,373.0,378.75,372.75,377.0,2061
2015-12-14,381.75,381.75,381.75,373.5,373.5,128249
2015-12-15,377.25,377.25,379.5,375.75,378.25,103753
2015-12-16,369.75,369.75,377.75,369.25,377.0,159022
2015-12-17,374.25,374.25,375.0,362.5,370.25,269285
2015-12-18,374.5,374.5,379.5,372.75,374.25,180303
2015-12-21,372.0,372.0,377.0,369.75,374.0,129720
2015-12-22,366.25,366.25,374.5,366.0,372.0,124216
2015-12-23,365.5,365.5,367.75,364.5,366.5,95523
2015-12-24,364.5,364.5,365.75,363.5,365.0,57476
2015-12-28,361.0,361.0,365.5,360.5,363.75,101006
2015-12-29,362.5,362.5,363.0,357.0,361.0,123500
2015-12-30,359.0,359.0,364.0,358.0,362.5,102103
2015-12-31,358.75,358.75,360.25,357.5,358.5,77003
2016-01-04,351.5,351.5,360.0,350.5,359.5,188747
2016-01-05,353.0,353.0,356.0,351.75,352.75,147255
2016-01-06,353.25,353.25,354.75,350.25,353.5,138855
2016-01-07,353.0,353.0,354.25,348.5,353.25,151656
2016-01-08,357.0,357.0,357.75,352.75,353.0,178645
2016-01-11,351.75,351.75,357.25,349.5,357.0,174492
2016-01-12,356.75,356.75,363.75,349.5,352.0,298175
2016-01-13,358.0,358.0,360.75,355.5,356.0,216869
2016-01-14,358.0,358.0,360.25,355.5,357.75,163853
2016-01-15,363.25,363.25,363.5,356.0,358.0,179659
2016-01-19,367.75,367.75,369.5,364.0,364.0,227108
2016-01-20,368.75,368.75,369.25,365.25,367.5,193968
2016-01-21,367.0,367.0,372.0,365.5,368.75,245065
2016-01-22,370.25,370.25,371.5,366.5,366.75,163779
