Date,Adj Close,Close,High,Low,Open,Volume
2015-01-02,4214.25,4214.25,4272.75,4201.0,4240.25,229555
2015-01-05,4161.75,4161.75,4220.75,4145.0,4216.0,313771
2015-01-06,4102.25,4102.25,4172.5,4082.0,4166.5,426154
2015-01-07,4151.5,4151.5,4163.25,4102.75,4105.5,328184
2015-01-08,4232.25,4232.25,4242.75,4152.25,4152.25,272056
2015-01-09,4200.75,4200.75,4252.5,4181.0,4232.25,341966
2015-01-12,4166.5,4166.5,4227.5,4151.0,4201.25,319438
2015-01-13,4158.5,4158.5,4247.75,4126.75,4169.5,476645
2015-01-14,4145.5,4145.5,4169.25,4100.5,4158.0,450812
2015-01-15,4089.0,4089.0,4190.0,4066.0,4147.5,456035
2015-01-16,4134.0,4134.0,4138.5,4041.5,4072.5,359021
2015-01-20,4167.0,4167.0,4175.25,4109.0,4138.75,347445
2015-01-21,4182.75,4182.75,4205.25,4137.0,4166.0,327200
2015-01-22,4264.75,4264.75,4269.0,4164.5,4183.75,338354
2015-01-23,4267.0,4267.0,4286.25,4250.25,4265.5,227200
2015-01-26,4269.25,4269.25,4278.25,4231.5,4249.5,187612
2015-01-27,4177.5,4177.5,4271.0,4142.75,4266.75,363818
2015-01-28,4124.25,4124.25,4234.5,4119.5,4206.0,363115
2015-01-29,4185.75,4185.75,4199.75,4095.75,4125.0,358572
2015-01-30,4141.25,4141.25,4208.0,4136.0,4203.5,345604
2015-02-02,4185.5,4185.5,4188.0,4085.5,4143.5,353848
2015-02-03,4216.25,4216.25,4222.75,4165.75,4180.75,283374
2015-02-04,4204.0,4204.0,4243.0,4187.5,4207.75,269497
2015-02-05,4247.5,4247.5,4254.75,4181.5,4191.0,200569
2015-02-06,4227.5,4227.5,4268.25,4209.75,4251.0,253335
2015-02-09,4214.25,4214.25,4232.0,4201.5,4226.5,198223
2015-02-10,4276.0,4276.0,4284.0,4211.0,4219.0,225792
2015-02-11,4296.5,4296.5,4322.0,4271.0,4278.25,207031
2015-02-12,4344.75,4344.75,4346.5,4285.75,4308.5,219353
2015-02-13,4377.0,4377.0,4382.0,4340.75,4342.75,190386
2015-02-17,4381.75,4381.75,4388.5,4364.5,4373.5,194620
2015-02-18,4386.0,4386.0,4393.5,4373.75,4384.5,146465
2015-02-19,4413.25,4413.25,4417.25,4376.0,4390.25,168236
2015-02-20,4438.0,4438.0,4445.0,4396.0,4416.25,235154
2015-02-23,4444.5,4444.5,4449.25,4429.75,4439.75,133132
2015-02-24,4450.25,4450.25,4455.75,4427.0,4445.25,163047
2015-02-25,4436.75,4436.75,4461.0,4429.25,4449.25,173941
2015-02-26,4461.75,4461.75,4464.75,4431.0,4438.5,193611
2015-02-27,4442.5,4442.5,4462.75,4435.0,4460.5,173304
2015-03-02,4477.0,4477.0,4483.25,4446.25,4447.0,185330
2015-03-03,4456.5,4456.5,4479.0,4432.5,4479.0,198589
2015-03-04,4444.25,4444.25,4458.25,4419.25,4458.25,210995
2015-03-05,4449.5,4449.5,4464.75,4432.75,4444.25,185176
2015-03-06,4405.0,4405.0,4460.5,4389.25,4451.5,296605
2015-03-09,4413.5,4413.5,4424.75,4391.75,4411.75,217756
2015-03-10,4331.25,4331.25,4415.75,4328.5,4415.25,313249
2015-03-11,4307.5,4307.5,4347.5,4304.25,4334.25,260964
2015-03-12,4330.75,4330.75,4339.5,4298.75,4312.5,269241
2015-03-13,4308.75,4308.75,4347.5,4288.25,4331.75,218259
2015-03-16,4359.5,4359.5,4372.75,4299.5,4313.5,119758
2015-03-17,4377.75,4377.75,4384.75,4348.75,4355.5,118898
2015-03-18,4427.25,4427.25,4441.5,4343.25,4377.25,75864
2015-03-19,4429.5,4429.5,4441.75,4419.5,4427.5,39157
2015-03-20,4461.25,4461.25,4467.25,4424.25,4426.25,210568
2015-03-23,4436.75,4436.75,4461.25,4436.0,4448.5,149739
2015-03-24,4429.0,4429.0,4461.0,4424.25,4436.5,184226
2015-03-25,4323.5,4323.5,4438.5,4320.0,4429.25,320355
2015-03-26,4310.75,4310.75,4331.0,4270.0,4327.0,356229
2015-03-27,4325.75,4325.75,4333.5,4297.25,4313.0,209529
2015-03-30,4372.5,4372.5,4381.75,4315.75,4327.5,202012
2015-03-31,4329.5,4329.5,4375.75,4320.75,4370.0,224928
2015-04-01,4313.0,4313.0,4334.25,4259.0,4321.75,311506
2015-04-02,4307.25,4307.25,4321.0,4288.5,4316.75,168845
2015-04-06,4342.25,4342.25,4354.75,4264.5,4265.0,154026
2015-04-07,4334.0,4334.0,4372.25,4330.25,4339.75,171692
2015-04-08,4374.75,4374.75,4379.25,4327.5,4335.25,225547
2015-04-09,4399.25,4399.25,4401.25,4352.75,4378.0,201439
2015-04-10,4414.75,4414.75,4416.0,4385.75,4399.0,126565
2015-04-13,4403.25,4403.25,4441.5,4399.5,4415.0,171930
