Date,Adj Close,Close,High,Low,Open,Volume,Return
2015-01-02,395.75,395.75,398.5,391.5,396.25,88774,
2015-01-05,406.0,406.0,406.75,394.5,395.75,140391,0.02590018951358175
2015-01-06,405.0,405.0,409.5,402.25,405.5,138314,-0.0024630541871921707
2015-01-07,396.25,396.25,407.25,396.0,404.75,131694,-0.021604938271604923
2015-01-08,394.25,394.25,398.75,392.75,396.5,118969,-0.0050473186119873725
2015-01-09,400.25,400.25,401.5,393.0,394.75,154553,0.015218769816106592
2015-01-12,402.0,402.0,407.0,390.0,399.0,269589,0.004372267332916957
2015-01-13,385.75,385.75,406.5,384.5,402.0,250523,-0.040422885572139355
2015-01-14,381.0,381.0,386.25,376.0,386.0,236408,-0.012313674659753748
2015-01-15,380.0,380.0,388.0,376.0,382.75,189766,-0.002624671916010457
2015-01-16,387.0,387.0,388.0,379.5,380.5,142829,0.018421052631578894
2015-01-20,390.25,390.25,391.0,382.25,385.25,138122,0.008397932816537557
2015-01-21,388.0,388.0,392.5,386.25,390.0,114626,-0.005765534913516945
2015-01-22,383.75,383.75,390.5,382.5,387.75,139782,-0.010953608247422641
2015-01-23,386.75,386.75,388.5,382.0,384.0,169566,0.007817589576547324
2015-01-26,384.0,384.0,388.25,382.25,385.75,102852,-0.007110536522301203
2015-01-27,381.25,381.25,386.0,380.0,383.5,108698,-0.00716145833333337
2015-01-28,373.25,373.25,381.5,373.0,380.75,167615,-0.020983606557377077
2015-01-29,371.5,371.5,373.5,368.0,373.5,192836,-0.0046885465505692725
2015-01-30,370.0,370.0,373.0,365.75,372.75,194631,-0.004037685060565233
2015-02-02,369.75,369.75,378.5,367.5,369.75,154763,-0.0006756756756757243
2015-02-03,385.75,385.75,388.5,370.0,370.0,238534,0.043272481406355645
2015-02-04,383.5,383.5,388.25,379.5,385.0,178698,-0.005832793259883395
2015-02-05,385.25,385.25,387.5,381.5,382.5,136397,0.0045632333767926525
2015-02-06,385.75,385.75,389.5,380.0,385.0,202343,0.0012978585334197934
2015-02-09,391.25,391.25,391.75,383.5,385.25,217638,0.014257939079714843
2015-02-10,388.0,388.0,391.5,384.5,390.75,209348,-0.008306709265175738
2015-02-11,385.75,385.75,389.75,384.0,388.0,178879,-0.005798969072164928
2015-02-12,383.0,383.0,387.75,381.25,385.25,169376,-0.0071289695398574215
2015-02-13,387.25,387.25,388.5,382.25,383.0,167269,0.011096605744125299
2015-02-17,389.5,389.5,391.0,385.0,387.0,164635,0.005810200129115595
2015-02-18,383.75,383.75,390.5,383.0,389.0,162322,-0.014762516046213148
2015-02-19,389.75,389.75,391.25,382.25,383.75,176132,0.015635179153094425
2015-02-20,385.25,385.25,389.5,383.5,389.0,131258,-0.011545862732520895
2015-02-23,378.75,378.75,386.0,377.5,385.25,142798,-0.01687216093445809
2015-02-24,377.5,377.5,387.0,377.5,379.0,207228,-0.0033003300330033403
2015-02-25,375.75,375.75,379.5,371.5,378.0,115836,-0.004635761589403931
2015-02-26,380.0,380.0,382.25,375.0,376.0,95565,0.011310711909514382
2015-02-27,384.5,384.5,387.25,377.0,379.0,35368,0.011842105263157876
2015-03-02,378.75,378.75,385.5,377.5,383.0,16974,-0.014954486345903795
2015-03-03,382.0,382.0,382.75,375.75,379.0,13906,0.008580858085808662
2015-03-04,381.5,381.5,382.25,378.0,382.0,10629,-0.0013089005235602524
2015-03-05,382.75,382.75,384.75,380.0,381.25,6365,0.00327653997378774
2015-03-06,379.25,379.25,382.5,376.5,381.0,4631,-0.009144350097975207
2015-03-09,383.25,383.25,384.75,379.25,379.25,1898,0.01054713249835193
2015-03-10,382.25,382.25,384.5,377.0,383.0,4126,-0.002609262883235486
2015-03-11,384.0,384.0,387.75,381.5,382.25,1609,0.00457815565729236
2015-03-12,382.25,382.25,384.75,380.0,384.0,1241,-0.00455729166666663
2015-03-13,374.0,374.0,383.75,374.0,383.25,155266,-0.021582733812949617
2015-03-16,379.0,379.0,382.25,375.5,380.75,145231,0.013368983957219305
2015-03-17,371.0,371.0,379.75,370.0,379.0,175673,-0.02110817941952503
2015-03-18,374.75,374.75,375.25,367.0,371.5,146488,0.010107816711590223
2015-03-19,373.5,373.5,380.5,370.5,377.5,152285,-0.0033355570380253496
2015-03-20,385.0,385.0,387.5,372.75,373.5,211230,0.0307898259705488
2015-03-23,390.25,390.25,391.75,385.0,385.0,160884,0.013636363636363669
2015-03-24,393.25,393.25,393.75,388.5,389.25,135276,0.0076873798846892605
2015-03-25,395.0,395.0,395.75,391.5,392.75,150274,0.004450095359186168
2015-03-26,391.25,391.25,397.0,389.25,394.0,156056,-0.009493670886076
2015-03-27,391.0,391.0,393.5,389.25,391.0,136749,-0.0006389776357828003
2015-03-30,394.5,394.5,395.0,390.0,391.5,175824,0.008951406649616356
2015-03-31,376.25,376.25,398.5,375.5,394.0,349246,-0.0462610899873257
2015-04-01,381.75,381.75,382.25,374.0,377.0,221060,0.0146179401993356
2015-04-02,386.5,386.5,388.5,378.25,381.75,177882,0.012442698100851413
2015-04-06,385.0,385.0,390.0,383.5,386.25,84776,-0.0038809831824062613
2015-04-07,383.0,383.0,387.25,382.0,385.0,99163,-0.0051948051948051965
2015-04-08,379.25,379.25,385.0,376.75,383.25,214355,-0.009791122715404721
2015-04-09,378.0,378.0,380.0,375.0,379.0,198132,-0.003295978905734964
2015-04-10,377.0,377.0,379.5,374.25,378.25,196231,-0.002645502645502673
2015-04-13,370.5,370.5,376.0,370.25,375.0,184709,-0.017241379310344862
2015-04-14,373.5,373.5,374.75,370.0,371.0,173032,0.00809716599190291
2015-04-15,376.0,376.0,379.0,370.5,372.75,220497,0.006693440428380271
2015-04-16,376.25,376.25,377.75,373.0,375.75,122447,0.0006648936170212671
2015-04-17,379.75,379.75,380.75,375.0,376.25,152395,0.009302325581395321
2015-04-20,378.0,378.0,381.75,375.75,379.5,133450,-0.004608294930875556
2015-04-21,373.0,373.0,377.0,371.25,377.0,179367,-0.013227513227513255
2015-04-22,372.5,372.5,374.0,369.25,373.0,141185,-0.0013404825737265424
2015-04-23,370.75,370.75,378.0,370.25,372.5,191785,-0.004697986577181235
2015-04-24,364.5,364.5,371.25,363.75,371.0,145306,-0.01685772083614301
2015-04-27,360.75,360.75,365.25,360.5,363.75,139207,-0.010288065843621408
